1786477040.226595 s1000000000e1-85cb19f9:2048
1786477040.647396 s1000000000e1-85cb19f9:2048
1786477041.085602 s1000000000e1-85cb19f9:16
1786477041.181849 s1000000000e1-85cb19f9:53E
1786477041.479245 s1000000000e1-85cb19f9:1
1786477041.503088 s1000000000e1-85cb19f9:1
1786477041.524308 s1000000000e1-85cb19f9:1
1786477041.545439 s1000000000e1-85cb19f9:1
1786477041.566538 s1000000000e1-85cb19f9:1
1786477041.587569 s1000000000e1-85cb19f9:1
1786477041.608585 s1000000000e1-85cb19f9:1
1786477041.629601 s1000000000e1-85cb19f9:1
1786477041.650631 s1000000000e1-85cb19f9:1
1786477041.671695 s1000000000e1-85cb19f9:1
1786477041.692755 s1000000000e1-85cb19f9:1
1786477041.713825 s1000000000e1-85cb19f9:1
1786477041.734728 s1000000000e1-85cb19f9:1
1786477041.755834 s1000000000e1-85cb19f9:1
1786477041.776912 s1000000000e1-85cb19f9:1
1786477041.797907 s1000000000e1-85cb19f9:1
1786477041.819001 s1000000000e1-85cb19f9:1
1786477041.840087 s1000000000e1-85cb19f9:1
1786477041.861165 s1000000000e1-85cb19f9:1
1786477041.882225 s1000000000e1-85cb19f9:1
1786477041.903313 s1000000000e1-85cb19f9:1
1786477041.924387 s1000000000e1-85cb19f9:1
1786477041.945433 s1000000000e1-85cb19f9:1
1786477041.966523 s1000000000e1-85cb19f9:1
1786477053.999831 s8e1-91f4c90a:2048
1786477054.429443 s8e1-91f4c90a:1988 s1e1-b3a16e41:60
1786477054.871354 s1e1-b3a16e41:2048
1786477055.296482 s1e1-b3a16e41:1924 s8e1-91f4c90a:13E s2e1-9f23d8fd:111
1786477055.772628 s8e1-91f4c90a:1 s2e1-9f23d8fd:2047
1786477056.196721 s8e1-91f4c90a:1 s2e1-9f23d8fd:1911 s3e1-90ff1266:136
1786477056.650479 s8e1-91f4c90a:1 s3e1-90ff1266:2047
1786477057.073188 s8e1-91f4c90a:1 s3e1-90ff1266:1857 s4e1-b16c535e:190
1786477057.526745 s8e1-91f4c90a:1 s4e1-b16c535e:2047
1786477057.950396 s8e1-91f4c90a:1 s4e1-b16c535e:1784 s5e1-a20594e7:263
1786477058.398937 s8e1-91f4c90a:1 s5e1-a20594e7:2047
1786477058.828960 s8e1-91f4c90a:1 s5e1-a20594e7:1682 s1e1-b3a16e41:20E s6e1-bfb0bab6:345
1786477059.297838 s8e1-91f4c90a:1 s1e1-b3a16e41:1 s6e1-bfb0bab6:2046
1786477059.731422 s8e1-91f4c90a:1 s1e1-b3a16e41:1 s6e1-bfb0bab6:1665 s7e1-865d313a:381
1786477060.181560 s8e1-91f4c90a:1 s1e1-b3a16e41:1 s7e1-865d313a:2046
1786477060.613220 s8e1-91f4c90a:1 s1e1-b3a16e41:1 s7e1-865d313a:1568 s2e1-9f23d8fd:26E s3e1-90ff1266:32E s4e1-b16c535e:38E s5e1-a20594e7:45E s6e1-bfb0bab6:51E
1786477061.063940 s8e1-91f4c90a:1 s1e1-b3a16e41:1 s2e1-9f23d8fd:1 s3e1-90ff1266:1 s4e1-b16c535e:1 s5e1-a20594e7:1 s6e1-bfb0bab6:1 s7e1-865d313a:57E
1786477061.129579 s8e1-91f4c90a:1 s1e1-b3a16e41:1 s2e1-9f23d8fd:1 s3e1-90ff1266:1 s4e1-b16c535e:1 s5e1-a20594e7:1 s6e1-bfb0bab6:1 s7e1-865d313a:1
1786477061.154850 s8e1-91f4c90a:1 s1e1-b3a16e41:1 s2e1-9f23d8fd:1 s3e1-90ff1266:1 s4e1-b16c535e:1 s5e1-a20594e7:1 s6e1-bfb0bab6:1 s7e1-865d313a:1
1786477061.179292 s8e1-91f4c90a:1 s1e1-b3a16e41:1 s2e1-9f23d8fd:1 s3e1-90ff1266:1 s4e1-b16c535e:1 s5e1-a20594e7:1 s6e1-bfb0bab6:1 s7e1-865d313a:1
1786477061.203454 s8e1-91f4c90a:1 s1e1-b3a16e41:1 s2e1-9f23d8fd:1 s3e1-90ff1266:1 s4e1-b16c535e:1 s5e1-a20594e7:1 s6e1-bfb0bab6:1 s7e1-865d313a:1
1786477061.227581 s8e1-91f4c90a:1 s1e1-b3a16e41:1 s2e1-9f23d8fd:1 s3e1-90ff1266:1 s4e1-b16c535e:1 s5e1-a20594e7:1 s6e1-bfb0bab6:1 s7e1-865d313a:1
1786477061.251594 s8e1-91f4c90a:1 s1e1-b3a16e41:1 s2e1-9f23d8fd:1 s3e1-90ff1266:1 s4e1-b16c535e:1 s5e1-a20594e7:1 s6e1-bfb0bab6:1 s7e1-865d313a:1
1786477061.275747 s8e1-91f4c90a:1 s1e1-b3a16e41:1 s2e1-9f23d8fd:1 s3e1-90ff1266:1 s4e1-b16c535e:1 s5e1-a20594e7:1 s6e1-bfb0bab6:1 s7e1-865d313a:1
1786477061.300187 s8e1-91f4c90a:1 s1e1-b3a16e41:1 s2e1-9f23d8fd:1 s3e1-90ff1266:1 s4e1-b16c535e:1 s5e1-a20594e7:1 s6e1-bfb0bab6:1 s7e1-865d313a:1
1786477061.324122 s8e1-91f4c90a:1 s1e1-b3a16e41:1 s2e1-9f23d8fd:1 s3e1-90ff1266:1 s4e1-b16c535e:1 s5e1-a20594e7:1 s6e1-bfb0bab6:1 s7e1-865d313a:1
1786477061.348206 s8e1-91f4c90a:1 s1e1-b3a16e41:1 s2e1-9f23d8fd:1 s3e1-90ff1266:1 s4e1-b16c535e:1 s5e1-a20594e7:1 s6e1-bfb0bab6:1 s7e1-865d313a:1
1786477061.372368 s8e1-91f4c90a:1 s1e1-b3a16e41:1 s2e1-9f23d8fd:1 s3e1-90ff1266:1 s4e1-b16c535e:1 s5e1-a20594e7:1 s6e1-bfb0bab6:1 s7e1-865d313a:1
1786477061.396615 s1e1-b3a16e41:1 s2e1-9f23d8fd:1 s3e1-90ff1266:1 s4e1-b16c535e:1 s5e1-a20594e7:1 s6e1-bfb0bab6:1 s7e1-865d313a:1 s8e1-91f4c90a:53E
1786477061.494039 s1e1-b3a16e41:1 s2e1-9f23d8fd:1 s3e1-90ff1266:1 s4e1-b16c535e:1 s5e1-a20594e7:1 s6e1-bfb0bab6:1 s7e1-865d313a:1 s8e1-91f4c90a:1
1786477061.518634 s1e1-b3a16e41:1 s2e1-9f23d8fd:1 s3e1-90ff1266:1 s4e1-b16c535e:1 s5e1-a20594e7:1 s6e1-bfb0bab6:1 s7e1-865d313a:1 s8e1-91f4c90a:1
1786477061.543204 s1e1-b3a16e41:1 s2e1-9f23d8fd:1 s3e1-90ff1266:1 s4e1-b16c535e:1 s5e1-a20594e7:1 s6e1-bfb0bab6:1 s7e1-865d313a:1 s8e1-91f4c90a:1
1786477061.567262 s1e1-b3a16e41:1 s2e1-9f23d8fd:1 s3e1-90ff1266:1 s4e1-b16c535e:1 s5e1-a20594e7:1 s6e1-bfb0bab6:1 s7e1-865d313a:1 s8e1-91f4c90a:1
1786477061.591483 s1e1-b3a16e41:1 s2e1-9f23d8fd:1 s3e1-90ff1266:1 s4e1-b16c535e:1 s5e1-a20594e7:1 s6e1-bfb0bab6:1 s7e1-865d313a:1 s8e1-91f4c90a:1
1786477061.615272 s1e1-b3a16e41:1 s2e1-9f23d8fd:1 s3e1-90ff1266:1 s4e1-b16c535e:1 s5e1-a20594e7:1 s6e1-bfb0bab6:1 s7e1-865d313a:1 s8e1-91f4c90a:1
1786477061.639338 s1e1-b3a16e41:1 s2e1-9f23d8fd:1 s3e1-90ff1266:1 s4e1-b16c535e:1 s5e1-a20594e7:1 s6e1-bfb0bab6:1 s7e1-865d313a:1 s8e1-91f4c90a:1
1786477061.663705 s2e1-9f23d8fd:1 s3e1-90ff1266:1 s4e1-b16c535e:1 s5e1-a20594e7:1 s6e1-bfb0bab6:1 s7e1-865d313a:1 s8e1-91f4c90a:1 s1e1-b3a16e41:53E
1786477061.722617 s2e1-9f23d8fd:1 s3e1-90ff1266:1 s4e1-b16c535e:1 s5e1-a20594e7:1 s6e1-bfb0bab6:1 s7e1-865d313a:1 s8e1-91f4c90a:1 s1e1-b3a16e41:1
1786477061.746599 s2e1-9f23d8fd:1 s3e1-90ff1266:1 s4e1-b16c535e:1 s5e1-a20594e7:1 s6e1-bfb0bab6:1 s7e1-865d313a:1 s8e1-91f4c90a:1 s1e1-b3a16e41:1
1786477061.770794 s2e1-9f23d8fd:1 s3e1-90ff1266:1 s4e1-b16c535e:1 s5e1-a20594e7:1 s6e1-bfb0bab6:1 s7e1-865d313a:1 s8e1-91f4c90a:1 s1e1-b3a16e41:1
1786477061.796857 s7e1-865d313a:1 s8e1-91f4c90a:1 s1e1-b3a16e41:1 s2e1-9f23d8fd:53E s3e1-90ff1266:53E s4e1-b16c535e:53E s5e1-a20594e7:53E s6e1-bfb0bab6:53E
1786477061.942065 s8e1-91f4c90a:1 s1e1-b3a16e41:1 s2e1-9f23d8fd:1 s3e1-90ff1266:1 s4e1-b16c535e:1 s5e1-a20594e7:1 s6e1-bfb0bab6:1 s7e1-865d313a:53E
1786477062.012212 s8e1-91f4c90a:1 s1e1-b3a16e41:1 s2e1-9f23d8fd:1 s3e1-90ff1266:1 s4e1-b16c535e:1 s5e1-a20594e7:1 s6e1-bfb0bab6:1 s7e1-865d313a:1
1786477062.036321 s8e1-91f4c90a:1 s1e1-b3a16e41:1 s2e1-9f23d8fd:1 s3e1-90ff1266:1 s4e1-b16c535e:1 s5e1-a20594e7:1 s6e1-bfb0bab6:1 s7e1-865d313a:1
1786477062.060342 s8e1-91f4c90a:1 s1e1-b3a16e41:1 s2e1-9f23d8fd:1 s3e1-90ff1266:1 s4e1-b16c535e:1 s5e1-a20594e7:1 s6e1-bfb0bab6:1 s7e1-865d313a:1
1786477062.084427 s8e1-91f4c90a:1 s1e1-b3a16e41:1 s2e1-9f23d8fd:1 s3e1-90ff1266:1 s4e1-b16c535e:1 s5e1-a20594e7:1 s6e1-bfb0bab6:1 s7e1-865d313a:1
1786477062.108102 s8e1-91f4c90a:1 s1e1-b3a16e41:1 s2e1-9f23d8fd:1 s3e1-90ff1266:1 s4e1-b16c535e:1 s5e1-a20594e7:1 s6e1-bfb0bab6:1 s7e1-865d313a:1
1786477062.132121 s8e1-91f4c90a:1 s1e1-b3a16e41:1 s2e1-9f23d8fd:1 s3e1-90ff1266:1 s4e1-b16c535e:1 s5e1-a20594e7:1 s6e1-bfb0bab6:1 s7e1-865d313a:1
1786477062.155904 s8e1-91f4c90a:1 s1e1-b3a16e41:1 s2e1-9f23d8fd:1 s3e1-90ff1266:1 s4e1-b16c535e:1 s5e1-a20594e7:1 s6e1-bfb0bab6:1 s7e1-865d313a:1
1786477062.179959 s8e1-91f4c90a:1 s1e1-b3a16e41:1 s2e1-9f23d8fd:1 s3e1-90ff1266:1 s4e1-b16c535e:1 s5e1-a20594e7:1 s6e1-bfb0bab6:1 s7e1-865d313a:1
1786477062.203655 s8e1-91f4c90a:1 s1e1-b3a16e41:1 s2e1-9f23d8fd:1 s3e1-90ff1266:1 s4e1-b16c535e:1 s5e1-a20594e7:1 s6e1-bfb0bab6:1 s7e1-865d313a:1
1786477062.227558 s8e1-91f4c90a:1 s1e1-b3a16e41:1 s2e1-9f23d8fd:1 s3e1-90ff1266:1 s4e1-b16c535e:1 s5e1-a20594e7:1 s6e1-bfb0bab6:1 s7e1-865d313a:1
1786477062.251608 s8e1-91f4c90a:1 s1e1-b3a16e41:1 s2e1-9f23d8fd:1 s3e1-90ff1266:1 s4e1-b16c535e:1 s5e1-a20594e7:1 s6e1-bfb0bab6:1 s7e1-865d313a:1
1786477062.275776 s1e1-b3a16e41:1 s2e1-9f23d8fd:1 s3e1-90ff1266:1 s4e1-b16c535e:1 s5e1-a20594e7:1 s6e1-bfb0bab6:1 s7e1-865d313a:1 s8e1-91f4c90a:53E
