1786286868.090116 s1000000000e1-aef15a9d:82E
1786286868.354464 s1000000000e1-aef15a9d:1
1786286868.426059 s1000000000e1-aef15a9d:1
1786286868.443833 s1000000000e1-aef15a9d:1
1786286868.463036 s1000000000e1-aef15a9d:1
1786286868.482367 s1000000000e1-aef15a9d:1
1786286868.501806 s1000000000e1-aef15a9d:1
1786286868.521233 s1000000000e1-aef15a9d:1
1786286868.540702 s1000000000e1-aef15a9d:1
1786286868.560204 s1000000000e1-aef15a9d:1
1786286868.579727 s1000000000e1-aef15a9d:1
1786286868.599237 s1000000000e1-aef15a9d:1
1786286868.618760 s1000000000e1-aef15a9d:1
1786286868.638259 s1000000000e1-aef15a9d:1
1786286868.657814 s1000000000e1-aef15a9d:1
1786286868.677450 s1000000000e1-aef15a9d:1
1786286868.696940 s1000000000e1-aef15a9d:1
1786286868.716469 s1000000000e1-aef15a9d:1
1786286868.736017 s1000000000e1-aef15a9d:1
1786286868.755573 s1000000000e1-aef15a9d:1
1786286868.775136 s1000000000e1-aef15a9d:1
1786286868.794675 s1000000000e1-aef15a9d:1
1786286868.814216 s1000000000e1-aef15a9d:1
1786286868.833709 s1000000000e1-aef15a9d:1
1786286868.853223 s1000000000e1-aef15a9d:1
1786286868.872761 s1000000000e1-aef15a9d:1
1786286868.892267 s1000000000e1-aef15a9d:1
1786286868.911781 s1000000000e1-aef15a9d:1
1786286868.931274 s1000000000e1-aef15a9d:1
1786286868.950813 s1000000000e1-aef15a9d:1
1786286868.970304 s1000000000e1-aef15a9d:1
1786286868.989871 s1000000000e1-aef15a9d:1
1786286869.009283 s1000000000e1-aef15a9d:1
1786286893.216129 s6e1-8f8da0bb:69E
1786286895.490171 s8e1-a8b174a6:1 s6e1-8f8da0bb:1 s1e1-a4bf772d:1 s4e1-ae17eac1:1 s3e1-99a97e3b:1 s2e1-af2273d3:1 s5e1-9758ed11:1 s7e1-8f514c28:1
1786286895.509783 s8e1-a8b174a6:1 s6e1-8f8da0bb:1 s1e1-a4bf772d:1 s4e1-ae17eac1:1 s3e1-99a97e3b:1 s2e1-af2273d3:1 s5e1-9758ed11:1 s7e1-8f514c28:1
1786286895.536056 s8e1-a8b174a6:1 s6e1-8f8da0bb:1 s1e1-a4bf772d:1 s4e1-ae17eac1:1 s3e1-99a97e3b:1 s2e1-af2273d3:1 s5e1-9758ed11:1 s7e1-8f514c28:1
1786286895.548990 s8e1-a8b174a6:1 s6e1-8f8da0bb:1 s1e1-a4bf772d:1 s4e1-ae17eac1:1 s3e1-99a97e3b:1 s2e1-af2273d3:1 s5e1-9758ed11:1 s7e1-8f514c28:1
1786286895.568615 s8e1-a8b174a6:1 s6e1-8f8da0bb:1 s1e1-a4bf772d:1 s4e1-ae17eac1:1 s3e1-99a97e3b:1 s2e1-af2273d3:1 s5e1-9758ed11:1 s7e1-8f514c28:1
1786286895.588233 s8e1-a8b174a6:1 s6e1-8f8da0bb:1 s1e1-a4bf772d:1 s4e1-ae17eac1:1 s3e1-99a97e3b:1 s2e1-af2273d3:1 s5e1-9758ed11:1 s7e1-8f514c28:1
1786286895.607868 s8e1-a8b174a6:1 s6e1-8f8da0bb:1 s1e1-a4bf772d:1 s4e1-ae17eac1:1 s3e1-99a97e3b:1 s2e1-af2273d3:1 s5e1-9758ed11:1 s7e1-8f514c28:1
1786286895.627476 s8e1-a8b174a6:1 s6e1-8f8da0bb:1 s1e1-a4bf772d:1 s4e1-ae17eac1:1 s3e1-99a97e3b:1 s2e1-af2273d3:1 s5e1-9758ed11:1 s7e1-8f514c28:1
1786286895.647053 s8e1-a8b174a6:1 s6e1-8f8da0bb:1 s1e1-a4bf772d:1 s4e1-ae17eac1:1 s3e1-99a97e3b:1 s2e1-af2273d3:1 s5e1-9758ed11:1 s7e1-8f514c28:1
1786286895.666677 s8e1-a8b174a6:1 s6e1-8f8da0bb:1 s1e1-a4bf772d:1 s4e1-ae17eac1:1 s3e1-99a97e3b:1 s2e1-af2273d3:1 s5e1-9758ed11:1 s7e1-8f514c28:1
1786286895.686334 s8e1-a8b174a6:1 s6e1-8f8da0bb:1 s1e1-a4bf772d:1 s4e1-ae17eac1:1 s3e1-99a97e3b:1 s2e1-af2273d3:1 s5e1-9758ed11:1 s7e1-8f514c28:1
1786286895.705998 s8e1-a8b174a6:1 s6e1-8f8da0bb:1 s1e1-a4bf772d:1 s4e1-ae17eac1:1 s3e1-99a97e3b:1 s2e1-af2273d3:1 s5e1-9758ed11:1 s7e1-8f514c28:1
1786286895.725516 s8e1-a8b174a6:1 s6e1-8f8da0bb:1 s1e1-a4bf772d:1 s4e1-ae17eac1:1 s3e1-99a97e3b:1 s2e1-af2273d3:1 s5e1-9758ed11:1 s7e1-8f514c28:1
1786286895.745129 s8e1-a8b174a6:1 s6e1-8f8da0bb:1 s1e1-a4bf772d:1 s4e1-ae17eac1:1 s3e1-99a97e3b:1 s2e1-af2273d3:1 s5e1-9758ed11:1 s7e1-8f514c28:1
1786286895.764722 s8e1-a8b174a6:1 s6e1-8f8da0bb:1 s1e1-a4bf772d:1 s4e1-ae17eac1:1 s3e1-99a97e3b:1 s2e1-af2273d3:1 s5e1-9758ed11:1 s7e1-8f514c28:1
1786286895.784369 s8e1-a8b174a6:1 s6e1-8f8da0bb:1 s1e1-a4bf772d:1 s4e1-ae17eac1:1 s3e1-99a97e3b:1 s2e1-af2273d3:1 s5e1-9758ed11:1 s7e1-8f514c28:1
1786286895.803993 s8e1-a8b174a6:1 s6e1-8f8da0bb:1 s1e1-a4bf772d:1 s4e1-ae17eac1:1 s3e1-99a97e3b:1 s2e1-af2273d3:1 s5e1-9758ed11:1 s7e1-8f514c28:1
1786286895.823614 s8e1-a8b174a6:1 s6e1-8f8da0bb:1 s1e1-a4bf772d:1 s4e1-ae17eac1:1 s3e1-99a97e3b:1 s2e1-af2273d3:1 s5e1-9758ed11:1 s7e1-8f514c28:1
1786286895.843221 s8e1-a8b174a6:1 s6e1-8f8da0bb:1 s1e1-a4bf772d:1 s4e1-ae17eac1:1 s3e1-99a97e3b:1 s2e1-af2273d3:1 s5e1-9758ed11:1 s7e1-8f514c28:1
1786286895.862844 s8e1-a8b174a6:1 s6e1-8f8da0bb:1 s1e1-a4bf772d:1 s4e1-ae17eac1:1 s3e1-99a97e3b:1 s2e1-af2273d3:1 s5e1-9758ed11:1 s7e1-8f514c28:1
1786286895.882432 s6e1-8f8da0bb:1 s1e1-a4bf772d:1 s4e1-ae17eac1:1 s3e1-99a97e3b:1 s2e1-af2273d3:1 s5e1-9758ed11:1 s7e1-8f514c28:1
1786286897.058117 s4e1-ae17eac1:53E
1786286897.125778 s4e1-ae17eac1:1 s8e1-a8b174a6:53E s6e1-8f8da0bb:53E s1e1-a4bf772d:53E s3e1-99a97e3b:53E s2e1-af2273d3:53E s5e1-9758ed11:53E s7e1-8f514c28:53E
