Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[audio] 64 REAL clips from llama-questions
=== SUSTAINED continuous full-duplex: 8 streams, 300s, budget 2000ms ===
        window   ticks   lat p50   lat p99    miss
         0-10s      40     1601ms     1603ms   0.0%
        10-20s      40        1ms        1ms   0.0%
        20-30s      40        1ms        1ms   0.0%
        30-40s      40        1ms        1ms   0.0%
        40-50s      40        1ms        1ms   0.0%
        50-60s      40        1ms        1ms   0.0%
        60-70s      40        1ms        1ms   0.0%
        70-80s      40        1ms        1ms   0.0%
        80-90s      40        0ms        1ms   0.0%
       90-100s      40        1ms        1ms   0.0%
      100-110s      40        1ms        1ms   0.0%
      110-120s      40        1ms        2ms   0.0%
      120-130s      40        1ms        1ms   0.0%
      130-140s      40        1ms        1ms   0.0%
      140-150s      40        0ms        1ms   0.0%
      150-160s      40        0ms        1ms   0.0%
      160-170s      40        0ms        1ms   0.0%
      170-180s      40        0ms        0ms   0.0%
      180-190s      40        0ms        0ms   0.0%
      190-200s      40        0ms        0ms   0.0%
      200-210s      40        0ms        1ms   0.0%
      210-220s      40        1ms        1ms   0.0%
      220-230s      40        0ms        0ms   0.0%
      230-240s      40        1ms        1ms   0.0%
      240-250s      40        1ms        1ms   0.0%
      250-260s      40        1ms        1ms   0.0%
      260-270s      40        1ms        1ms   0.0%
      270-280s      40        0ms        1ms   0.0%
      280-290s      40        1ms        1ms   0.0%
      290-300s      32     1602ms     1603ms   0.0%
  OVERALL: ticks=1199 lat p50=1 p90=1 p99=1603ms miss=0.00% TTFA p50=1608ms voice_out_frames=0 err=0
  CADENCE: delivered 100% of frames (150/150 per session) -> real frame period 2002ms vs budget 2000ms => REAL-TIME
  DEGRADATION: first-bucket p99 1603ms -> last-bucket p99 1603ms (drift +0ms) STABLE
