L,arrival_ms,beat,ctx,done_ms,inject_offset_ms,latency_ms,miss,rel_to_injection_ms,sid
256,15840.0,33,2662,15879.36,360,39.36,0,600.0,0
256,16320.0,34,2674,16366.26,360,46.26,0,1080.0,0
256,16800.0,35,2684,16832.5,360,32.5,0,1560.0,0
256,17280.0,36,2696,17326.28,360,46.28,0,2040.0,0
256,17760.0,37,2711,17826.98,360,66.98,0,2520.0,0
256,13920.0,29,2366,13965.88,470,45.88,0,-1430.0,0
256,14400.0,30,2375,14425.41,470,25.41,0,-950.0,0
256,14880.0,31,2384,14905.42,470,25.42,0,-470.0,0
256,15360.0,32,2651,15414.14,470,54.14,0,10.0,0
256,15840.0,33,2662,15879.36,470,39.36,0,490.0,0
256,16320.0,34,2674,16366.26,470,46.26,0,970.0,0
256,16800.0,35,2684,16832.5,470,32.5,0,1450.0,0
256,17280.0,36,2696,17326.28,470,46.28,0,1930.0,0
256,17760.0,37,2711,17826.98,470,66.98,0,2410.0,0
512,13920.0,29,2366,13965.88,5,45.88,0,-965.0,0
512,14400.0,30,2375,14425.41,5,25.41,0,-485.0,0
512,14880.0,31,2896,14943.07,5,63.07,0,-5.0,0
512,15360.0,32,2907,15399.61,5,39.61,0,475.0,0
512,15840.0,33,2918,15879.63,5,39.63,0,955.0,0
512,16320.0,34,2930,16366.57,5,46.57,0,1435.0,0
512,16800.0,35,2940,16832.71,5,32.71,0,1915.0,0
512,17280.0,36,2952,17326.6,5,46.6,0,2395.0,0
512,17760.0,37,2967,17827.44,5,67.44,0,2875.0,0
512,13920.0,29,2366,13965.88,120,45.88,0,-1080.0,0
512,14400.0,30,2375,14425.41,120,25.41,0,-600.0,0
512,14880.0,31,2384,14905.42,120,25.42,0,-120.0,0
512,15360.0,32,2907,15399.61,120,39.61,0,360.0,0
512,15840.0,33,2918,15879.63,120,39.63,0,840.0,0
512,16320.0,34,2930,16366.57,120,46.57,0,1320.0,0
512,16800.0,35,2940,16832.71,120,32.71,0,1800.0,0
512,17280.0,36,2952,17326.6,120,46.6,0,2280.0,0
512,17760.0,37,2967,17827.44,120,67.44,0,2760.0,0
512,13920.0,29,2366,13965.88,240,45.88,0,-1200.0,0
512,14400.0,30,2375,14425.41,240,25.41,0,-720.0,0
512,14880.0,31,2384,14905.42,240,25.42,0,-240.0,0
512,15360.0,32,2907,15399.61,240,39.61,0,240.0,0
512,15840.0,33,2918,15879.63,240,39.63,0,720.0,0
512,16320.0,34,2930,16366.57,240,46.57,0,1200.0,0
512,16800.0,35,2940,16832.71,240,32.71,0,1680.0,0
