N,p50_ms,p90_ms,p99_ms,miss
1,142.9,143.8,147.7,0.0000
2,196.9,200.5,212.8,0.0000
4,230.2,241.3,258.7,0.0000
8,294.8,312.1,324.9,0.0000
16,381.1,391.1,401.0,0.0000
32,462.0,500.3,538.1,0.0000
64,649.7,706.8,780.4,0.0000
128,922.4,1025.9,1057.9,0.0000
256,1405.9,1472.4,1566.2,0.0000
320,1682.9,1754.8,1971.5,0.0000
384,1915.7,2031.2,2056.4,0.1667
512,2424.9,2586.1,2755.0,1.0000
