test,B,ctx,p,n,mean_ms,p50_ms,p90_ms,p99_ms,min_ms,max_ms,std_ms,base_ms,overhead_ms,overhead_pct,ms_per_prefill_token
T3,4,4096,0,15,17.5886,17.4995,17.9392,17.9703,17.4049,17.9703,0.1841,17.4995,0.0,0.0,
T3,4,4096,64,15,21.4964,21.4234,22.3016,22.6679,20.8601,22.6679,0.4677,17.4995,3.9239,22.42,0.06131
T3,4,4096,128,15,21.4265,21.2978,22.6398,22.7765,20.8526,22.7765,0.5641,17.4995,3.7983,21.71,0.02967
T3,4,4096,256,15,21.3733,21.1537,22.6696,23.0109,20.5831,23.0109,0.7312,17.4995,3.6542,20.88,0.01427
T3,4,4096,512,15,28.4822,28.3849,29.3083,29.7587,27.3823,29.7587,0.7534,17.4995,10.8854,62.2,0.02126
T3,4,4096,1024,15,37.9343,37.8127,38.7643,38.9576,37.5126,38.9576,0.4021,17.4995,20.3132,116.08,0.01984
T3,4,4096,2048,15,107.7227,118.7647,119.6562,122.4816,70.7975,122.4816,19.418,17.4995,101.2652,578.67,0.04945
