test,L,k,ctx,chunk,steps_observed,n,mean_ms,p50_ms,p90_ms,p99_ms,min_ms,max_ms,std_ms,base_k1_ms,penalty_pct,penalty_ms
T4,2048,1,4096,2048,2.0,8,164.9571,160.2755,192.9457,192.9457,158.4248,192.9457,10.9497,160.2755,0.0,0.0
T4,2048,2,4096,1024,3.0,8,171.1673,170.5407,174.3512,174.3512,170.0454,174.3512,1.4246,160.2755,6.4,10.265
T4,2048,4,4096,512,5.0,8,189.784,189.5956,191.2626,191.2626,189.0781,191.2626,0.6571,160.2755,18.29,29.32
T4,2048,8,4096,256,9.0,8,207.4143,207.4887,209.0477,209.0477,205.4809,209.0477,1.2116,160.2755,29.46,47.213
T4,2048,16,4096,128,17.0,8,290.0141,288.8511,296.1878,296.1878,286.5202,296.1878,3.1359,160.2755,80.22,128.576
T4,2048,32,4096,64,33.0,8,563.8041,563.5972,571.014,571.014,559.668,571.014,3.5781,160.2755,251.64,403.322
