batch,total_kv,n_new,p50_ms,p99_ms,mean_ms,reps
1,0,25,6.53773,7.14794,6.64908,60
1,512,25,6.80198,7.63315,6.76694,60
1,1024,25,7.32432,7.97334,7.33768,60
1,2048,25,8.4487,11.73251,8.72827,60
1,3072,25,8.38042,9.03325,8.30277,60
1,4096,25,7.97235,8.35206,7.89252,60
1,6144,25,11.63392,13.99491,11.41848,60
1,8192,25,9.85261,9.94125,9.59958,60
