batch,total_kv,n_new,p50_ms,p99_ms,mean_ms,reps
1,0,64,17.94544,22.53728,17.70619,60
1,1024,64,11.1839,12.14054,11.28103,60
1,2048,64,11.37043,13.32637,11.68852,60
1,4096,64,11.85546,12.72246,11.92699,60
1,8192,64,13.53827,19.96013,13.95647,60
1,12288,64,13.60976,15.27805,13.6007,60
1,16384,64,13.92915,14.76205,13.79068,60
1,24576,64,14.97517,16.09565,14.94791,60
1,32768,64,16.61197,18.75018,16.79848,60
